,item_description,avg_price_chf,avg_price_usd,avg_price_euro
0,cucumber,"2.2","2.5","2.3"
1,bread,"1.3","1.45","1.35"
2,cheese,19,21,20
3,sausage,35,39,36
4,chicken,25,28,25
5,apple,"3.8","4.3","3.9"
6,pear,"4.6","5.1","4.7"
7,orange,"3.5","3.9","3.6"
8,potato,"2.3","2.6","2.4"
9,rice,"2.5","2.8","2.5"
10,tomato,"4.1","4.5","4.2"
