,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
52,1.60,Fennel TeaOrganic,Klostergarten,40g,"Coffe, Drinks and Tea",Migros,2023-05-18
53,5.30,Blood orange juicePressed,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-18
54,6.60,  SportcapNatural mineral waterStill,Evian,6 x 750ml,"Coffe, Drinks and Tea",Migros,2023-05-18
55,1.80,Lemon juice,Alnatura,200ml,"Coffe, Drinks and Tea",Migros,2023-05-18
56,1.50,-BudgetMultifruit nectarWith ,M,50% fruit juice1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
57,2.80,Iced teaLemon,Ice Tea,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-18
58,7.95,  ZeroIced teaLemon,Ice Tea,6x1L,"Coffe, Drinks and Tea",Migros,2023-05-18
59,5.70,Natural mineral waterSparkling,San Pellegrino,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-18
60,8.35,-BudgetApple spritzer,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
61,3.55,"-Budget  ZeroSoft drink with Cola flavor, contains caffeine",M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
62,8.95,Energy drink,Red Bull,6 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-18
63,5.30,Orange apricot carrot juicePressed,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-18
64,3.55,-BudgetTable waterWith lemon flavor,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
65,3.75,-BudgetInstant cocoa drink,M,1kg,"Coffe, Drinks and Tea",Migros,2023-05-18
66,6.30,Natural mineral waterStill,Evian,6 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-18
67,4.70,  SanbitterCarbonated SanbitterReady-to-drink non-alcoholic bitter,San Pellegrino,6 x 100ml,"Coffe, Drinks and Tea",Migros,2023-05-18
68,1.–,Soft drinkVanilla,Coca-Cola,250ml,"Coffe, Drinks and Tea",Migros,2023-05-18
