,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
46,1.95,  IP-SUISSEWhole milkHOCH PAST - ,Heidi,3.8% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
47,2.10,Oat-based drinkUnsweetened,Alnatura,1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
48,0.65,QuarkStrawberry,M-Classic,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
49,2.80,  OriginalCream cheesePlain,Philadelphia,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
50,3.50,Whole creamUHT - ,Valflora,35% Fat500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
51,3.20,Feta,Migros Bio,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
52,0.75,YogurtNature,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
53,1.60,"  ClassicSwiss hard cheese, full-fat, made from raw milkMild",Emmentaler,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
54,1.90,MozzarellaBall,M-Budget,2 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
55,0.65,YogurtVanilla,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
56,2.70,AOPEmmentaler & Le Gruyère Swiss hard cheeseGrated,unknown,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
57,2.80,Aha!Half-creamLactose-free,unknown,250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
58,Regional Price,Sour cream with herbsHerbs,Valflora,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
59,3.30,  IP-SUISSEHalf creamUHT - ,Valflora,25% Fat3 x 125ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
60,5.50,Salad dressingFrench,Mini Salatsossä,500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
61,2.25,TortelloniSpinach and ricotta,M-Budget,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
62,3.20,Egg spaetzle,M-Budget,800g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
63,0.90,Low-fat quark,M-Classic,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
64,Regional Price,Coffee creamPortions,Valflora,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
65,0.65,QuarkApricots,M-Classic,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
66,1.95,Yogurt stitch-proofChocolate,M-Classic,6 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
67,2.25,Mozzarella,Migros Bio,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
68,1.90,"  AOPSwiss hard cheese, full-fat, made from raw milkMild",Le Gruyère,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
69,4.55,Premium butterDish,Floralp,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
70,3.–,  LuzernerLucerne Cream cheese,Emmi,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
71,3.55,MozzarellaMini,Galbani,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
72,4.40,Premium butter,Migros Bio,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
73,Regional Price,Pingui,Kinder,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
74,2.85,YoghurtPlain,Migros Bio,1kg,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
75,1.65,Brie,M-Budget,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
76,2.30,Yogurt,M-Classic,2x raspberry - 2x blueberry - 2x strawberry6 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
77,1.60,YogurtPlain,Bifidus,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
78,Regional Price,Soft cream cheese,Caprice des Dieux,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
79,1.10,Greek style cream yogurtClassic,Yogos,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
80,1.40,  IP-SUISSESemi-skimmed milkHOCH PAST - ,Valflora,2.5% Fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
81,2.50,  ClassicoMozzarelline,Alfredo,160g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
82,Regional Price,Gouda12 slices,M-Classic,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
83,0.65,YogurtStrawberry,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
84,3.50,Grated mozzarella,M-Classic,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
85,2.45,Greek style cream yogurtClassic,Yogos,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
