,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
412,8.80,Aus der Region Gasparini Rahmtäfeli,Gasparini,480ml,Frozen Food,Migros,2023-05-18
413,18.50,Capuns,unknown,400g,Frozen Food,Migros,2023-05-18
414,7.50,FRANUI HIMBEEREN DUNKEL,unknown,150 g,Frozen Food,Migros,2023-05-18
415,2.95,  BioSorbetLemon & Lime,Sélection,120 ml,Frozen Food,Migros,2023-05-18
416,8.40,Sélection MSC Rocklobster gekocht,Migros Sélection,100 g,Frozen Food,Migros,2023-05-18
417,8.40, MSC Rocklobster gekocht,Sélection,100 g,Frozen Food,Migros,2023-05-18
418,1.95,Oreo Donut,Oreo,73g,Frozen Food,Migros,2023-05-18
419,7.95,V-LOVE Chocolate Cornet,V-Love,6 x 110 ml,Frozen Food,Migros,2023-05-18
420,5.–,V-Love Vanilla,V-Love,450 ml,Frozen Food,Migros,2023-05-18
421,3.95,Dieci Joghurt-Heidelbeer,Dieci,120 ml,Frozen Food,Migros,2023-05-18
422,7.50,FRANUI HIMBEEREN MILCHSCH,unknown,150 g,Frozen Food,Migros,2023-05-18
423,5.95,LITTLE MOONS KOKOSNUSS,unknown,6 x 32g,Frozen Food,Migros,2023-05-18
424,3.50, Ice Sandw. ,Oreo,135ml135 ml,Frozen Food,Migros,2023-05-18
425,1.–,Natürliche Farbe Pink,RUF,8g,Frozen Food,Migros,2023-05-18
426,3.95,Gasparini Cornet Zolli Choc Noir,Gasparini,145ml,Frozen Food,Migros,2023-05-18
427,3.95,Gasparini Cornet Zolli Vanille,Gasparini,145ml,Frozen Food,Migros,2023-05-18
428,4.50,Rice BowlVegan,V-Love,400g,Frozen Food,Migros,2023-05-18
429,6.50,  ASCSea bass,Pelican,350g,Frozen Food,Migros,2023-05-18
430,6.20,V-LOVE COCO & CHOCO,V-Love,456ml,Frozen Food,Migros,2023-05-18
431,2.70,Gasparini Banane & Chocolat,Gasparini,80ml,Frozen Food,Migros,2023-05-18
432,2.70,Gasparini Vanille & Himbeer,Gasparini,80ml,Frozen Food,Migros,2023-05-18
433,2.70,Gasparini Mango & Passion,Gasparini,80ml,Frozen Food,Migros,2023-05-18
434,2.70,Gasparini Caramel & Fior di Latte,Gasparini,80ml,Frozen Food,Migros,2023-05-18
435,9.50,Gasparini Banane & Chocolat,Gasparini,4 x 80ml,Frozen Food,Migros,2023-05-18
