,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
137,162,4.80,  MexicanPotato slices with breadingFor final baking,Denny's,600.0,Frozen Food,Migros,2023-05-18
138,163,7.95,Seafood mixCooked,Pelican,500.0,Frozen Food,Migros,2023-05-18
139,164,4.50,PizzaWith cooked ham and mushrooms,La Trattoria,660.0,Frozen Food,Migros,2023-05-18
140,165,4.50,Chäs-Chüechli,Migros Bio,280.0,Frozen Food,Migros,2023-05-18
141,166,3.40,"Calamari Roman gutters TypeMade in Spain with calamar from Argentina (Southwest Atlantic, wild caught)",Pelican,250.0,Frozen Food,Migros,2023-05-18
142,167,8.95,Breaded Chicken Nuggets,Migros Bio,300.0,Frozen Food,Migros,2023-05-18
143,169,4.40,IP-SUISSERhubarb,unknown,600.0,Frozen Food,Migros,2023-05-18
144,170,3.75,Mushroom ramekins,M-Classic,280.0,Frozen Food,Migros,2023-05-18
145,171,3.95,Jalapeno Crispy breaded peppers with cream cheese fillingWith chili sauce - ,J.Bank's,250.0,Frozen Food,Migros,2023-05-18
146,172,5.50,  Bretagne?Mixed vegetablesSeasoned,Farmer's Best,750.0,Frozen Food,Migros,2023-05-18
147,173,3.80,PizzaSalami,Alnatura,320.0,Frozen Food,Migros,2023-05-18
148,174,8.20,RaspberriesUnsweetened,M-Classic,500.0,Frozen Food,Migros,2023-05-18
149,175,4.50,Trio of Swiss florets,Migros Bio,500.0,Frozen Food,Migros,2023-05-18
150,176,3.50,Pomegranate seed,Alnatura,300.0,Frozen Food,Migros,2023-05-18
151,177,6.50,Gruyere Delights,Migros Bio,360.0,Frozen Food,Migros,2023-05-18
152,178,11.50,ShrimpsPeeled & cooked,Migros Bio,400.0,Frozen Food,Migros,2023-05-18
153,179,4.95,  MSCWild salmon fillets Pacific,Pelican,250.0,Frozen Food,Migros,2023-05-18
154,181,5.95,  ASCPangasius in light lemon breadingBreaded - ,Pelican,300.0,Frozen Food,Migros,2023-05-18
155,182,4.95,Elder MagronsWith cheese,M-Classic,500.0,Frozen Food,Migros,2023-05-18
156,184,12.95,Vegetarian Momos,Tenz,280.0,Frozen Food,Migros,2023-05-18
157,185,3.95,  SmoothieFruit mixtureRed,M-Classic,500.0,Frozen Food,Migros,2023-05-18
158,187,4.20,  Happy HourBruschetta pomodoriWith tomatoes and mozzarella,M-Classic,228.0,Frozen Food,Migros,2023-05-18
159,188,7.20,  DeliciousPotato gratin,M-Classic,750.0,Frozen Food,Migros,2023-05-18
160,189,3.10,BaguetteWith ham and cheese,La Trattoria,220.0,Frozen Food,Migros,2023-05-18
161,190,4.30,PineappleUnsweetened,M-Classic,500.0,Frozen Food,Migros,2023-05-18
162,191,3.80,Quiches lorraines,M-Classic,280.0,Frozen Food,Migros,2023-05-18
163,195,6.35,Frittelle di gamberi croccantiTempura King Prawns,J.Bank's,250.0,Frozen Food,Migros,2023-05-18
164,196,4.20,  Mini Windy'sOven pancakes with cream fillingClassic,M-Classic,250.0,Frozen Food,Migros,2023-05-18
165,197,6.50,Spinach Cookies,Migros Bio,360.0,Frozen Food,Migros,2023-05-18
166,198,8.70,Breaded Chicken Nuggets,Don Pollo,300.0,Frozen Food,Migros,2023-05-18
167,200,3.60,Aha! MSCFish sticks,unknown,300.0,Frozen Food,Migros,2023-05-18
168,201,4.20,Plums,Migros Bio,600.0,Frozen Food,Migros,2023-05-18
169,202,4.50,Mixed vegetables for pan frying,Migros Bio,500.0,Frozen Food,Migros,2023-05-18
170,204,18.90,  Happy HourHam croissant,M-Classic,1512.0,Frozen Food,Migros,2023-05-18
171,205,4.95,  IP-SUISSECauliflower rice,You,750.0,Frozen Food,Migros,2023-05-18
172,206,5.95,Prawns Cocktail,Pelican,300.0,Frozen Food,Migros,2023-05-18
173,207,4.80,PiadinaWith mozzarella and cooked ham,La Trattoria,280.0,Frozen Food,Migros,2023-05-18
174,209,5.95,Iced mochisPassion fruit and mango - Tropical paradise,Little moons,192.0,Frozen Food,Migros,2023-05-18
175,210,10.50,Chicken escalope,Don Pollo,720.0,Frozen Food,Migros,2023-05-18
176,211,7.40,  Filets Gourmet - MSCAtlantic Cod FilletProvençale,Pelican,400.0,Frozen Food,Migros,2023-05-18
177,212,6.30,Paella Fruits de mer,Costa,600.0,Frozen Food,Migros,2023-05-18
178,213,8.95,Cod fillet,Pelican,400.0,Frozen Food,Migros,2023-05-18
179,214,3.20,Sugar peasUnseasoned,Farmer's Best,360.0,Frozen Food,Migros,2023-05-18
