,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
53,8.40,"  IP-SUISSEWhite flourIdeal for fine baked goods, light and airy breads and sauces",M-Classic,4 x 1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
54,5.20,  ChocosCrunchy cereal foodChoco,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
55,3.30,  IP-SUISSEDark wheat breadPart baked,M-Classic,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
56,6.50,Maple syrup,Migros Bio,250ml,"Bread, Pastries, & Breakfast",Migros,2023-05-18
57,3.20,Sils croissants with butterPre-baked,M-Classic,180g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
58,1.75,Swiss wholegrain oat flakesFine,Migros Bio,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
59,2.60,Pizza flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
60,0.50,Baking Powder,Patissier,10 x 15g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
61,1.40,  IP-SUISSEToast bread with wholemeal flour in slicesToast Rustico,M-Classic,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
62,5.60,  CristalFine crystal sugar,M-Classic,4 x 1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
63,2.30,  FairtradeRaw sugar from sugar cane,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
64,2.40,  IP-SUISSESandwiches breadEat the same day,M-Classic,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
65,1.70,Puff pastryFlattened and square ,M-Classic,42x26cm320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
66,3.45,  aha!Wholemeal rice wafers coated with milk chocolateGluten free,Migros Bio,3 x 45g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
67,2.50,  IP-SUISSEBalloonsPre-baked,M-Classic,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
68,3.80,  IP-SUISSEButter braidPre-baked,M-Classic,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
69,3.95,  CrocMuesli NibblesWith wild berries,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
70,3.75,Spelt flourType ,Alnatura,6301kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
71,2.60,Pasty,M-Classic,198g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
72,2.40,Cake dough rolled outRound ,Migros Bio,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
73,2.20,PastyPuff pastries,M-Classic,132g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
74,3.30,  Vital+ FitMultigrain breadSliced,Harry,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
75,1.50,  MicrocWheat crispbread,M-Classic,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
76,4.45,  IP-SUISSEPretzel from silsPre-baked,M-Classic,310g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
77,Regional Price,Carac,unknown,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
78,1.50,  MicrocRye crisp slice,M-Classic,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
79,3.95,  CrocMuesli NibblesChocolate flakes,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
80,1.65,Cooking chocolate,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
81,2.70,Milk BreadWith chocolate,unknown,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
82,1.75,Rice cakesApple,Lilibiggs,60g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
83,3.25,Brioche Summit,M-Budget,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
84,1.80,  Corn FlakesCorn flakes with ,M-Budget,8 vitamins600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
85,1.60,Pure powdered sugar,unknown,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
86,3.70,Peanut butterCrunchy,M-Classic,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
