,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
58,3.20,RöstiPotatoes ready to fry,M-Classic,750g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
59,2.10,SchnäggliWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
60,0.95,  PassataTomato puree,M-Budget,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
61,1.70,Red beans,M-Classic,310g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
62,3.60,Saffron,M-Classic,4 sachets of 125mg4 x 0.125g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
63,1.45,Pineapple pieces in pineapple juice,Sun Queen,140g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
64,4.95,  MiflocMashed potatoes,M-Classic,4 x 95g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
65,2.95,Tomato sauce with basil,Longobardi,700g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
66,2.95,Risotto d'Italia,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
67,1.80,Chickpeas,Alnatura,220g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
68,1.90,Chinese noodlesWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
69,3.75,Pink tunaIn brine,M-Classic,3 x 80g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
70,2.70,  BioCurlsSpelt,Alnatura,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
71,2.80, KitchenRice noodles,Thai,250g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
72,1.40,Capers in vinegar,Condy,65g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
73,2.60,Cereals,M-Classic,750g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
74,2.30,RöstiPotatoes ready to fry,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
75,1.50,  all' ItalianaTomato sauceNaples,Salsa,250ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
76,5.25,Ketchup,Heinz,50% less sugar550g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
77,2.60,  BioCorn grains,M-Classic,2 x 140g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
78,2.50,Puréed tomatoes,Longobardi,700g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
79,2.30,Chia seeds,Migros Bio,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
80,1.75,Asparagus tips white,M-Classic,115g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
81,1.95,Green beansSubtle.,M-Classic,210g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
82,2.10,Chopped peeled tomatoes,Longobardi,800g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
83,1.25,Breadcrumbs light,M-Classic,300g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
84,1.15,ParsleyFreeze-dried,unknown,9g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
85,3.50,Long grain wild rice,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
86,1.70,Apple pureeSweetened,M-Classic,445g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
87,2.55, KitchenCoconut milkLight,Thai,250ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
88,6.95,Taboulé - Refreshing salad with olive oil,Al Fez,760g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
89,2.95,Tomato sauceBasilico,Agnesi,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
90,2.10,Sugo basilico,Alnatura,340g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
91,2.60,Soft wholemeal wheat tortillasWholemeal:,El Sombrero,490g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
92,1.70,MacaroniExtra with eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
93,2.90,Green Lentils,Migros Bio,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
94,1.70,GarlicGranulated,unknown,135g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
95,1.50,Roasted onions,unknown,60g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
96,4.50,  BioJasmine rice,Mister Rice,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
97,1.30,MustardMild,M-Classic,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
98,3.90,Stock vegetablesGrease free,Migros Bio,180g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
99,1.50,Pureed tomatoesPassata di Pomodoro,Longobardi,360g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
100,1.70,Fusilli,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
101,5.50,  BioRisotto rice,Mister Rice,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
102,2.95,  BaldoRisotto rice,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
103,1.60,Pesto alla genovese,M-Budget,190g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
104,1.90,Curly noodlesWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
105,3.70,Pink tunaIn oil,M-Classic,295g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
106,2.95,  BioChick peas,M-Classic,2 x 138g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
107,1.50,Paprika nobly sweetGround,unknown,95g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
108,1.50,MeatloafDelicacy,Malbuner,115g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
109,2.30,Long grain rice,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
110,1.40,White beansTout prêts,M-Classic,440g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
111,2.95,Sandwich gherkinsLongitudinal section,Condy,190g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
